,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%)
301,812.66,39.5,28.3,1.805,1.294,2.5810000000000004,49.9
302,813.53,36.3,26.6,1.805,1.325,2.494,46.9
303,815.36,39.5,28.3,1.797,1.2890000000000001,2.56,49.7
304,817.13,41.9,29.5,1.7480000000000002,1.2309999999999999,2.484,50.4
305,818.26,41.6,29.4,1.732,1.2229999999999999,2.431,49.7
306,821.03,44.2,30.7,1.725,1.196,2.476,51.7
307,821.2,43.8,30.5,1.735,1.206,2.4930000000000003,51.6
308,822.45,46.7,31.8,1.725,1.176,2.536,53.6
309,823.66,43.3,30.2,1.742,1.216,2.504,51.4
310,825.13,46.9,31.9,1.724,1.1740000000000002,2.537,53.7
311,827.22,41.5,29.4,1.754,1.239,2.491,50.3
312,828.02,51.7,34.1,1.7369999999999999,1.145,2.717,57.8
313,829.43,48.6,32.7,1.682,1.1320000000000001,2.447,53.8
314,830.6,41.0,29.1,1.8090000000000002,1.2830000000000001,2.638,51.4
315,831.34,43.3,30.2,1.7480000000000002,1.219,2.519,51.6
316,831.79,42.1,29.6,1.795,1.263,2.6260000000000003,51.9
317,832.45,39.4,28.3,1.83,1.3119999999999998,2.653,50.5
318,833.14,49.8,33.2,1.794,1.197,2.866,58.2
319,833.75,55.6,35.7,1.681,1.081,2.614,58.6
320,836.551,41.6,29.4,1.786,1.261,2.5860000000000003,51.2
321,837.768,38.3,27.7,1.797,1.2990000000000002,2.5269999999999997,48.6
322,838.7489999999999,38.9,28.0,1.78,1.281,2.495,48.6
323,839.68,45.2,31.1,1.808,1.246,2.765,55.0
324,840.1310000000001,40.0,28.6,1.77,1.264,2.498,49.4
325,841.1610000000001,50.0,33.3,1.7309999999999999,1.1540000000000001,2.645,56.4
326,842.779,41.5,29.3,1.781,1.2590000000000001,2.569,51.0
327,843.535,47.7,32.3,1.75,1.185,2.6430000000000002,55.2
328,844.977,47.2,32.1,1.757,1.194,2.653,55.0
329,846.176,32.7,24.6,1.841,1.3880000000000001,2.491,44.3
330,847.2669999999999,39.6,28.4,1.8119999999999998,1.298,2.605,50.2
331,848.232,33.7,25.2,1.831,1.369,2.495,45.1
332,849.362,51.0,33.8,1.7009999999999998,1.126,2.5639999999999996,56.1
333,850.568,40.2,28.7,1.79,1.2770000000000001,2.562,50.2
334,851.1569999999999,42.4,29.8,1.7830000000000001,1.253,2.6,51.8
335,852.942,47.1,32.0,1.704,1.158,2.48,53.3
336,854.062,31.8,24.1,1.8330000000000002,1.391,2.447,43.2
337,855.365,32.4,24.5,1.828,1.381,2.4530000000000003,43.7
338,856.26,49.1,32.9,1.75,1.1740000000000002,2.6860000000000004,56.3
339,857.06,33.3,25.0,1.8230000000000002,1.367,2.463,44.5
340,857.42,41.3,29.2,1.778,1.2590000000000001,2.556,50.7
341,858.65,27.6,21.6,1.8940000000000001,1.484,2.4730000000000003,40.0
342,859.94,35.0,25.9,1.821,1.348,2.502,46.1
343,861.09,31.4,23.9,1.8519999999999999,1.41,2.481,43.2
344,862.03,35.3,26.1,1.8159999999999998,1.3419999999999999,2.499,46.3
345,863.62,45.7,31.4,1.7890000000000001,1.228,2.717,54.8
346,865.54,25.8,20.5,1.964,1.561,2.575,39.4
347,866.92,41.4,29.3,1.797,1.271,2.612,51.3
348,868.99,55.4,35.7,1.732,1.114,2.806,60.3
349,869.56,42.8,30.0,1.807,1.266,2.685,52.9
350,871.4,20.3,16.9,2.04,1.695,2.5540000000000003,33.6
351,872.74,32.6,24.6,1.973,1.4880000000000002,2.8280000000000003,47.4
352,876.1,55.0,35.5,1.6840000000000002,1.087,2.609,58.3
353,877.14,54.5,35.3,1.7169999999999999,1.112,2.718,59.1
354,878.44,57.6,36.5,1.713,1.088,2.7969999999999997,61.1
355,880.46,51.8,34.1,1.702,1.121,2.591,56.7
356,880.92,49.8,33.2,1.754,1.171,2.718,56.9
357,882.27,44.2,30.6,1.72,1.193,2.459,51.5
358,910.29,1.3,1.2,2.9130000000000003,2.877,2.9819999999999998,3.5
359,914.6,2.6,2.6,2.821,2.748,2.958,7.1
360,915.38,1.0,1.0,2.945,2.9160000000000004,3.003,2.9
361,916.58,1.7,1.6,2.9,2.853,2.991,4.6
362,924.18,3.8,3.7,2.74,2.639,2.929,9.9
363,926.41,2.3,2.3,2.773,2.7110000000000003,2.887,6.1
364,928.79,1.2,1.2,2.885,2.85,2.952,3.5
365,929.35,1.1,1.1,2.88,2.8489999999999998,2.937,3.0
366,931.31,1.3,1.3,2.884,2.847,2.9530000000000003,3.6
367,931.76,1.7,1.7,2.843,2.7960000000000003,2.932,4.6
368,932.18,0.9,0.9,2.897,2.872,2.944,2.4
369,933.74,1.1,1.1,2.918,2.886,2.98,3.1
370,936.65,1.1,1.1,2.889,2.8560000000000003,2.95,3.2
371,938.68,1.1,1.1,2.891,2.86,2.951,3.1
372,943.85,1.5,1.5,2.918,2.875,3.0010000000000003,4.2
373,945.952,1.4,1.4,2.885,2.844,2.9610000000000003,4.0
374,972.95,1.7,1.7,2.784,2.736,2.8689999999999998,4.6
375,982.7,1.2,1.2,2.861,2.8280000000000003,2.923,3.2
376,984.93,1.0,1.0,2.8710000000000004,2.842,2.924,2.8
377,991.73,1.8,1.8,2.866,2.8160000000000003,2.9610000000000003,4.9
378,994.46,5.1,4.8,2.6660000000000004,2.5380000000000003,2.903,12.6
379,1001.35,1.5,1.5,2.8710000000000004,2.8280000000000003,2.951,4.2
380,1004.48,0.9,0.9,2.88,2.853,2.93,2.6
381,1006.67,1.1,1.1,2.866,2.8339999999999996,2.925,3.1
