,Depth CSF-B (m),Bulk density (GRA)
960,6.855,1.486
961,6.858,1.4780000000000002
962,6.88,1.45
963,6.882999999999999,1.484
964,6.9,1.538
965,6.905,1.495
966,6.907,1.489
967,6.925,1.516
968,6.93,1.4709999999999999
969,6.932,1.4869999999999999
970,6.949,1.54
971,6.955,1.5
972,6.957000000000001,1.4069999999999998
973,6.974,1.665
974,6.976,1.4569999999999999
975,6.98,1.4969999999999999
976,6.981,1.4240000000000002
977,6.997999999999999,1.692
978,7.001,1.626
979,7.005,1.5519999999999998
980,7.006,1.429
981,7.023,1.6640000000000001
982,7.026,1.6230000000000002
983,7.03,1.5519999999999998
984,7.03,1.476
985,7.047999999999999,1.676
986,7.05,1.555
987,7.055,1.4880000000000002
988,7.055,1.545
989,7.072,1.601
990,7.075,1.595
991,7.08,1.6540000000000001
992,7.08,1.5419999999999998
993,7.097,1.8840000000000001
994,7.1,1.745
995,7.104,1.607
996,7.105,1.797
997,7.121,1.921
998,7.125,1.757
999,7.129,1.6369999999999998
1000,7.13,1.611
1001,7.146,1.589
1002,7.15,1.631
1003,7.153,1.723
1004,7.155,1.7819999999999998
1005,7.17,1.685
1006,7.175,1.5719999999999998
1007,7.178,1.679
1008,7.18,1.7209999999999999
1009,7.195,1.568
1010,7.199,1.591
1011,7.202000000000001,1.7080000000000002
1012,7.205,1.421
1013,7.218999999999999,1.5619999999999998
1014,7.224,1.6769999999999998
1015,7.227,1.709
1016,7.23,1.4340000000000002
1017,7.244,1.64
1018,7.249,1.7690000000000001
1019,7.252000000000001,1.632
1020,7.255,1.4240000000000002
1021,7.268,1.742
1022,7.274,1.775
1023,7.276,1.6569999999999998
1024,7.28,1.465
1025,7.292999999999999,1.794
1026,7.2989999999999995,1.6
1027,7.301,1.4380000000000002
1028,7.305,1.462
1029,7.317,1.739
1030,7.324,1.5319999999999998
1031,7.325,1.389
1032,7.33,1.49
1033,7.3420000000000005,1.901
1034,7.349,0.282
1035,7.35,1.383
1036,7.355,1.5290000000000001
1037,7.367000000000001,1.413
1038,7.375,1.3980000000000001
1039,7.38,1.5419999999999998
1040,7.399,1.4380000000000002
1041,7.405,1.604
1042,7.4239999999999995,1.43
1043,7.43,1.581
1044,7.4479999999999995,1.3980000000000001
1045,7.455,1.59
1046,7.473,1.416
1047,7.48,1.5619999999999998
1048,7.48,1.4340000000000002
1049,7.497000000000001,1.4080000000000001
1050,7.5,1.318
1051,7.505,1.913
